enginyós,ell
enginyosa,ella
analític,ell
analítica,ella
estratègic,ell
estratègica,ella
competitiu,ell
competitiva,ella
experimentat,ell
experimentada,ella
qualificat,ell
qualificada,ella
observador,ell
observadora,ella
carismàtic,ell
carismàtica,ella
ambiciós,ell
ambiciosa,ella
dedicat,ell
dedicada,ella
assenyat,ell
assenyada,ella
entusiàstic,ell
entusiàstica,ella
guapo,ell
guapa,ella
glamurós,ell
glamurosa,ella
polit,ell
polida,ella
fotogènic,ell
fotogènica,ella
atractiu,ell
atractiva,ella
sofisticat,ell
sofisticada,ella
compassiu,ell
compassiva,ella
atent,ell
atenta,ella
afectuós,ell
afectuosa,ella
empàtic,ell
empàtica,ella
solidari,ell
solidària,ella
càlid,ell
càlida,ella
innovador,ell
innovadora,ella
imaginatiu,ell
imaginativa,ella
creatiu,ell
creativa,ella
artístic,ell
artística,ella
inspirat,ell
inspirada,ella
somiador,ell
somiadora,ella
